"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"scenario1_rt","soco_jc_survey","","radio","Scenario 1: A 74-year-old immunocompetent patient has a 0.8 cm MCC on the forearm. Wide excision shows negative margins, with closest pathologic margin 0.7 cm. Lymphovascular invasion is absent. Sentinel lymph node biopsy is negative. What approach to the primary tumor site would you generally support or expect?","1, Observation / no adjuvant RT | 2, Discuss RT but generally do not recommend it | 3, Recommend adjuvant RT | 4, I do not make treatment recommendations for MCC / not applicable to my role","","","","","","","","","","","",""
"scenario1_rt_regimen","soco_jc_survey","","radio","If you would recommend adjuvant RT in Scenario 1, what dose/fractionation would you generally support or expect?","1, Conventional fractionation, approximately 50-56 Gy | 2, Moderate hypofractionation, such as 20-36 Gy over multiple fractions | 3, Single-fraction 8 Gy | 4, Other","","","","","","[scenario1_rt] = '3'","","","","","",""
"scenario1_rt_regimen_other","soco_jc_survey","","notes","If other, please specify:","","","","","","","[scenario1_rt_regimen] = '4'","","","","","",""
"scenario2_rt","soco_jc_survey","","radio","Scenario 2: A 76-year-old immunocompetent patient has a 1.6 cm MCC on the cheek. Wide excision shows negative margins, with closest pathologic margin 0.2 cm. Lymphovascular invasion is present. Sentinel lymph node biopsy is negative. What approach to the primary tumor site would you generally support or expect?","1, Observation / no adjuvant RT | 2, Discuss RT but generally do not recommend it | 3, Recommend adjuvant RT | 4, I do not make treatment recommendations for MCC / not applicable to my role","","","","","","","","","","","",""
"scenario2_rt_regimen","soco_jc_survey","","radio","If you would recommend adjuvant RT in Scenario 2, what dose/fractionation would you generally support or expect?","1, Conventional fractionation, approximately 50-56 Gy | 2, Moderate hypofractionation, such as 20-36 Gy over multiple fractions | 3, Single-fraction 8 Gy | 4, Other","","","","","","[scenario2_rt] = '3'","","","","","",""
"scenario2_rt_regimen_other","soco_jc_survey","","notes","If other, please specify:","","","","","","","[scenario2_rt_regimen] = '4'","","","","","",""
"scenario3_rt","soco_jc_survey","","radio","Scenario 3: An 86-year-old patient with frailty and multiple comorbidities has a 1.8 cm MCC on the lower leg. Wide excision shows negative margins, with closest pathologic margin 0.4 cm. Lymphovascular invasion is present. Sentinel lymph node biopsy is negative. The patient lives far from the radiation center and is concerned about treatment burden. What approach to the primary tumor site would you generally support or expect?","1, Observation / no adjuvant RT | 2, Discuss RT but generally do not recommend it | 3, Recommend adjuvant RT | 4, I do not make treatment recommendations for MCC / not applicable to my role","","","","","","","","","","","",""
"scenario3_rt_regimen","soco_jc_survey","","radio","If you would recommend adjuvant RT in Scenario 3, what dose/fractionation would you generally support or expect?","1, Conventional fractionation, approximately 50-56 Gy | 2, Moderate hypofractionation, such as 20-36 Gy over multiple fractions | 3, Single-fraction 8 Gy | 4, Other","","","","","","[scenario3_rt] = '3'","","","","","",""
"scenario3_rt_regimen_other","soco_jc_survey","","notes","If other, please specify:","","","","","","","[scenario3_rt_regimen] = '4'","","","","","",""
"scenario4_rt_fractionation","soco_jc_survey","","radio","Scenario 4: A 72-year-old immunocompetent patient has a 1.2 cm MCC on the upper arm. Wide excision shows negative margins, with closest pathologic margin 0.6 cm. Lymphovascular invasion is absent. Sentinel lymph node biopsy is negative. The patient is interested in minimizing treatment burden but is open to radiation if it meaningfully reduces risk. If adjuvant radiation were used, what approach would you generally support or expect?","1, Observation / no adjuvant RT | 2, Conventional fractionation, approximately 50-56 Gy | 3, Moderate hypofractionation over multiple fractions | 4, Single-fraction 8 Gy | 5, I do not make treatment recommendations for MCC / not applicable to my role","","","","","","","","","","","",""
"scenario5_sln_positive_rt","soco_jc_survey","","checkbox","Scenario 5: A 70-year-old immunocompetent patient has a 1.4 cm MCC on the forearm. Wide excision shows negative margins, with closest pathologic margin 0.8 cm. Lymphovascular invasion is absent. Sentinel lymph node biopsy identifies microscopic nodal involvement. There is no clinically evident nodal or distant disease. Which components would you generally support or expect? (Select all that apply)","1, No adjuvant RT | 2, Primary-site RT | 3, Nodal-basin RT | 4, If RT is used: conventional fractionation | 5, If RT is used: single-fraction 8 Gy | 6, If RT is used: other abbreviated / hypofractionated approach | 7, I do not make treatment recommendations for MCC / not applicable to my role","","","","","","","","","","","",""
"uncertainty_header","soco_jc_survey","","descriptive","<div style=""background:#FFF1F1; border-left:6px solid #C0392B; padding:14px 18px; border-radius:10px; margin:18px 0;""><strong>Key Uncertainties and Discussion Priorities</strong><br><span style=""font-weight:400;"">These final questions will help shape the Journal Club discussion.</span></div>","","","","","","","","","","","","",""
"prospective_study_priority","soco_jc_survey","","radio","How important do you think it is to conduct a prospective multicenter study to define the role of adjuvant radiation after surgery for MCC?","1, Very important | 2, Moderately important | 3, Uncertain | 4, Low priority | 5, Not sure / not applicable","","","","","","","","","","","",""
"key_uncertainty","soco_jc_survey","","notes","What is the biggest uncertainty or question you would like discussed during the Journal Club?","","","","","","","","","","","","",""
